iter	MultiClass
0	1.046418736
1	0.9909999177
2	0.9463702165
3	0.9100639912
4	0.8828811926
5	0.8602139256
6	0.8386321182
7	0.8159059506
8	0.7988069931
9	0.7815808146
10	0.7705385701
11	0.7607251314
12	0.7496259986
13	0.7427348459
14	0.7334176964
15	0.7246254157
16	0.7211349361
17	0.7181188912
18	0.7107125942
19	0.7034157921
20	0.6974168348
21	0.6916759675
22	0.6866677671
23	0.6834976396
24	0.6792414182
25	0.6779934389
26	0.67522011
27	0.6725086105
28	0.6696871452
29	0.6693195818
30	0.6683398453
31	0.6655951706
32	0.6630185572
33	0.6609446431
34	0.6602403172
35	0.6582517454
36	0.6573614701
37	0.6553886832
38	0.6536947323
39	0.6531623037
40	0.6511997412
41	0.6499791071
42	0.648226647
43	0.6465215556
44	0.6452642843
45	0.6435823637
46	0.6420240661
47	0.6415815388
48	0.6412885848
49	0.6402632313
50	0.6396849618
51	0.638121782
52	0.6372835891
53	0.636236414
54	0.6358938294
55	0.6353252699
56	0.6343921077
57	0.6337072129
58	0.633212064
59	0.6320294051
60	0.6309564711
61	0.6294594679
62	0.6285541841
63	0.6277414737
64	0.6276097055
65	0.6270607505
66	0.6263627161
67	0.6261381889
68	0.6252293654
69	0.6245445972
70	0.6240519962
71	0.6234621657
72	0.6227615316
73	0.6223715849
74	0.6220225699
75	0.6217114307
76	0.621237319
77	0.6208483599
78	0.6200008333
79	0.6194621103
80	0.6186286362
81	0.6180756026
82	0.6175841729
83	0.616758747
84	0.6162240102
85	0.6159043819
86	0.6151759676
87	0.6147402262
88	0.6141820378
89	0.6139817276
90	0.6136890935
91	0.6134015473
92	0.6130197132
93	0.6127162794
94	0.6124387077
95	0.6120200293
96	0.6114338852
97	0.6111440258
98	0.6105852335
99	0.6102909752
100	0.6098194579
101	0.6090546391
102	0.6086314949
103	0.6079513741
104	0.6076957557
105	0.6075696401
106	0.606750145
107	0.6064464748
108	0.606317906
109	0.6059982749
110	0.6056131343
111	0.6047184133
112	0.6044417634
113	0.6043764844
114	0.6037130454
115	0.6033703206
116	0.6028419067
117	0.6025539466
118	0.6022337647
119	0.6014698648
120	0.6012034626
121	0.6001012956
122	0.5994842013
123	0.5990158896
124	0.5985761699
125	0.5983980273
126	0.5977293461
127	0.5970784018
128	0.5966648496
129	0.5960227146
130	0.5956587529
131	0.5953400171
132	0.5949400133
133	0.5947360867
134	0.5944713241
135	0.5941489019
136	0.5939523128
137	0.5934715328
138	0.5931318769
139	0.592801447
140	0.5925659167
141	0.5924528354
142	0.5921142715
143	0.5919255281
144	0.5917562829
145	0.5913192515
146	0.5909892678
147	0.5905991834
148	0.5903185185
149	0.5900054155
150	0.5899501254
151	0.5898451535
152	0.5893019414
153	0.5890145983
154	0.5887330251
155	0.5885089847
156	0.5883137692
157	0.5881864885
158	0.5880885318
159	0.5879282073
160	0.5875442559
161	0.5873634136
162	0.5866542128
163	0.586343347
164	0.5862056384
165	0.5860425899
166	0.585839759
167	0.5856473719
168	0.5854919187
169	0.5852996383
170	0.5851227917
171	0.5846738336
172	0.5843849066
173	0.5841114964
174	0.5833622505
175	0.583134374
176	0.582837678
177	0.5825250568
178	0.5821562025
179	0.5816970939
180	0.5814943487
181	0.5813028274
182	0.5810348569
183	0.5808755085
184	0.5807646722
185	0.5801278227
186	0.579931563
187	0.5797981765
188	0.5796389915
189	0.5795172826
190	0.5792955135
191	0.5792034353
192	0.5790687165
193	0.5789568957
194	0.5786559165
195	0.5784754744
196	0.578315625
197	0.5780746437
198	0.5778588775
199	0.5777351817
200	0.5775318995
201	0.5769344513
202	0.5767979388
203	0.5766566161
204	0.576309661
205	0.5762138253
206	0.5761300329
207	0.5760088128
208	0.5758976971
209	0.5758233999
210	0.575608129
211	0.5754132524
212	0.5752072725
213	0.5751021755
214	0.5748002017
215	0.5746755898
216	0.5744943051
217	0.5744438828
218	0.5742352956
219	0.5741001482
220	0.5739959604
221	0.5738043806
222	0.5734322144
223	0.5730401232
224	0.5729023516
225	0.5726804623
226	0.5724335384
227	0.5723165969
228	0.5722068936
229	0.5718163613
230	0.5714824413
231	0.5712938657
232	0.5712158501
